DOI,Titel,Feld,Thema,HMD
10.1162/PRES_a_00111,"Effects of Stereoscopic Viewing on Presence, Anxiety, and Cybersickness in a Virtual Reality Environment for Public Speaking",Psychology / Human factors,Emotions / Empathy / Fear,
10.1007/s00221-012-3048-1,Multisensory integration in the estimation of walked distances,Psychology / Human factors,Movement / Navigation,"eMagin, Z800"
10.1109/TVCG.2012.45,Geometric Calibration of Head-Mounted Displays and its Effects on Distance Estimation,Softwareentwicklung,Visual perception,
10.1145/2134203.2134206,Reinforcement Learning Utilizes Proxemics: An Avatar Learns to Manipulate the Position of People in Immersive Virtual Reality,Psychology / Human factors,Collaboration / Interaction,
10.1177/0269215511419383,Effects of treadmill training with optic flow on balance and gait in individuals following stroke: randomized controlled trials,Medizin,Rehabilitation / Treatment,"MSP-209, Kowon Technology"
10.1162/PRES_a_00089,Full Body Acting Rehearsal in a Networked Virtual Environment-A Case Study,Softwareentwicklung,Collaboration / Interaction,
10.1371/journal.pone.0030021,Virtual Reality as a Tool for Evaluation of Repetitive Rhythmic Movements in the Elderly and Parkinson's Disease Patients,Medizin,Measurement of body functions,Vuzix iWear VR920
10.1080/01431161.2011.629233,"The potential for using 3D visualization for data exploration, error correction and analysis of LiDAR point clouds",Softwareentwicklung,Visualisation,
10.1016/j.cirp.2012.05.010,Augmented reality applications in design and manufacturing,,,
10.1016/j.chb.2011.06.006,Interactive gaming reduces experimental pain with or without a head mounted display,Psychology / Human factors,Perception of Pain / Discomfort,
10.1371/journal.pone.0025759,Talk to the Virtual Hands: Self-Animated Avatars Improve Communication in Head-Mounted Display Virtual Environments,Psychology / Human factors,Collaboration / Interaction,
10.1016/j.actpsy.2011.05.015,Comparison of grasping movements made by healthy subjects in a 3-dimensional immersive virtual versus physical environment,Ergonomie,Haptics / Physical interaction,Kaiser XL50
10.1109/TVCG.2011.41,Change Blindness Phenomena for Virtual Reality Display Systems,Human Biology,Visual perception,ProView SR80 HMD
10.1016/j.jneumeth.2011.05.011,An automated calibration method for non-see-through head mounted displays,Softwareentwicklung,Software development,
10.1109/TVCG.2010.248,Natural Perspective Projections for Head-Mounted Displays,Psychology / Human factors,Visual perception,Rockwell Collins ProView SR80 
10.1186/1743-0003-8-36,Viewing medium affects arm motor performance in 3D virtual environments,Ergonomie,Evaluation of VR systems,
10.1162/PRES_a_00048,Depth Perception Within Peripersonal Space Using Head-Mounted Display,Psychology / Human factors,Visual perception,Cybermind Visette45 SXGA
10.3758/s13421-010-0054-z,The effect of landmark and body-based sensory information on route knowledge,Psychology / Human factors,Movement / Navigation,
10.1109/MAES.2011.5763338,A Low Cost Flight Simulator Using Virtual Reality Tools,Softwareentwicklung,Software development,
10.1098/rstb.2010.0209,The (human) science of medical virtual learning environments,Medizin,Training,
10.1371/journal.pone.0016128,Multisensory Stimulation Can Induce an Illusion of Larger Belly Size in Immersive Virtual Reality,Psychology / Human factors,Body Illusion,
10.1080/10447318.2011.552059,An Augmented Reality System for the Treatment of Phobia to Small Animals Viewed Via an Optical See-Through HMD: Comparison With a Similar System Viewed Via a Video See-Through HMD,,,
10.1162/pres_a_00016,The Effects of Higher Levels of Immersion on Procedure Memorization Performance and Implications for Educational Virtual Environments,Psychology / Human factors,Training,
10.1016/j.compedu.2010.06.005,Integrating video-capture virtual reality technology into a physically interactive learning environment for English learning,Bildungswesen,Model design,
10.1089/cyber.2009.0263,Virtual-Reality Distraction and Cold-Pressor Pain Tolerance: Does Avatar Point of View Matter?,Psychology / Human factors,Perception of Pain / Discomfort,
10.1162/PRES_a_00005,Immersive Journalism: Immersive Virtual Reality for the First-Person Experience of News,Journalism,Model design,
10.1093/jpepsy/jsp082,Effects of Videogame Distraction and a Virtual Reality Type Head-Mounted Display Helmet on Cold Pressor Pain in Young Elementary School-Aged Children,Psychology / Human factors,Perception of Pain / Discomfort,
10.1007/s11554-009-0141-1,IMMIView: a multi-user solution for design review in real-time,Design,Collaboration / Interaction,
10.3758/BRM.42.2.414,Controlled interaction: Strategies for using virtual reality to study perception,Psychology / Human factors,Visual perception,nVis HMD
10.1002/cav.324,A gesture control system for intuitive 3D interaction with virtual objects,Softwareentwicklung,Control of VR / Human-Computer Interface,
10.1016/j.destud.2009.11.001,Augmented reality for collaborative product design and development,,,
10.1080/01449290903160459,Increasing the geometric field of view in head mounted displays through proprioceptive task and multimodal feedback for effective close range interaction,Ergonomie,Haptics / Physical interaction,DaeYang Enc Co. DH-4400 3D
10.1016/j.comppsych.2008.12.001,Development of a computer-based behavioral assessment of checking behavior in obsessive-compulsive disorder,Psychology / Human factors,Measurement of body functions,
10.1016/j.isprsjprs.2009.10.001,Augmented reality and photogrammetry: A synergy to visualize physical and virtual city environments,,,
10.1109/JDT.2009.2029123,Comparison of Near-to-Eye Displays: Subjective Experience and Comfort,Hardwareentwicklung und Evaluation,Evaluation of VR systems,multiple
10.1167/10.13.11,Dynamic visual information facilitates object recognition from novel viewpoints,Human Biology,Visual perception,
10.1109/TRO.2009.2028765,Stereo Viewing and Virtual Reality Technologies in Mobile Robot Teleguide,Hardwareentwicklung und Evaluation,Remote Control / Digital Twin,
10.1016/j.burns.2009.01.013,Virtual reality: Feasibility of implementation in a regional burn center,Medizin,Image of VR / Use of VR,
10.1109/TBME.2009.2028013,A 3-D Mixed-Reality System for Stereoscopic Visualization of Medical Dataset,Medizin,Visualisation,
10.1089/cpb.2009.0118,Crushing Virtual Cigarettes Reduces Tobacco Addiction and Treatment Discontinuation,Psychology / Human factors,Rehabilitation / Treatment,
10.1097/OPX.0b013e3181adff42,Effects of a Head-Mounted Display on the Oculomotor System of Children,Medizin,Effect of HMDs on Eyesight,
10.1093/jpepsy/jsn023,Effects of Videogame Distraction using a Virtual Reality Type Head-Mounted Display Helmet on Cold Pressor Pain in Children,Psychology / Human factors,Perception of Pain / Discomfort,
10.1162/pres.18.3.232,Comparison of the Levels of Presence and Anxiety in an Acrophobic Environment Viewed via HMD or CAVE,Psychology / Human factors,Emotions / Empathy / Fear,
10.1016/j.apmr.2008.10.030,Kinematics of Pointing Movements Made in a Virtual Versus a Physical 3-Dimensional Environment in Healthy and Stroke Subjects,Medizin,Body kinematics / Hand movements,Kaiser XL50
10.1097/BRS.0b013e31819b3254,Cervical Motion Assessment Using Virtual Reality,Ergonomie,Measurement of body functions,
10.1016/j.resuscitation.2008.12.016,Virtual reality enhanced mannequin (VREM) that is well received by resuscitation experts,Hardwareentwicklung und Evaluation,Image of VR / Use of VR,
10.1007/s11042-008-0223-2,Head-mounted display versus desktop for 3D navigation in virtual reality: a user study,Hardwareentwicklung und Evaluation,Movement / Navigation,i-glasses SVGA Pro
10.1089/cpb.2008.0003,Anxiety Provocation and Measurement Using Virtual Reality in Patients with Obsessive-Compulsive Disorder,Psychology / Human factors,Emotions / Empathy / Fear,
10.1162/pres.17.6.575,The Comparisons of Heart Rate Variability and Perceived Exertion During Simulated Cycling with Various Viewing Devices,Human Biology,Measurement of body functions,?
10.1111/j.1553-2712.2008.00191.x,Teaching Mass Casualty Triage Skills Using Immersive Three-dimensional Virtual Reality,Medizin,Training,
10.1016/j.actaastro.2007.11.001,Desktop-VR system for preflight 3D navigation training,Aviation,Training,
10.3390/s8074350,The image transceiver device: Studies of improved physical design,Hardwareentwicklung und Evaluation,Hardware development,
10.1089/cpb.2007.0116,Development and clinical trial of virtual reality-based cognitive assessment in people with stroke: Preliminary study,Psychology / Human factors,Measurement of body functions,
10.1109/TNSRE.2008.922676,"Design of a modular and low-latency virtual-environment platform for applications in motor adaptation research, neurological disorders, and neurorehabilitation",Human Biology,Software development,
10.1016/j.displa.2007.09.005,"Virtual reality induced symptoms and effects (VRISE): Comparison of head mounted display (HMD), desktop and projection display systems",Hardwareentwicklung und Evaluation,Evaluation of VR systems,Virtual Research V8 HMD
10.1016/j.epsr.2007.03.014,Virtual reality applied to a full simulator of electrical sub-stations,Ingenieurwesen / Physik,Model design,
10.1007/s00221-007-1134-6,Gait deviations induced by visual stimulation in roll,Ergonomie,Balance,
10.1123/jsr.17.1.38,Do the physical characteristics of a virtual reality device contraindicate its use for balance assessment?,Ergonomie,Balance,Virtual Research V8 HMD
10.1002/cae.20145,3D Stereo Vision System Effectiveness for Engineering Design and Graphics Education,Ingenieurwesen / Physik,Training,
10.1145/1278387.1278392,Using Virtual Environments to Assess Time-to-Contact Judgments from Pedestrian Viewpoints,Hardwareentwicklung und Evaluation,Visual perception,eMagin Z800 3DVisor
10.1037/0278-6133.26.6.794,Active and passive distraction using a head-mounted display helmet: Effects on cold pressor pain in children,Psychology / Human factors,Perception of Pain / Discomfort,
10.1007/s11554-007-0043-z,The MATRIS project: real-time markerless camera tracking for Augmented Reality and broadcast applications,,,
10.1186/1743-0003-4-35,Evaluation of adaptation to visually induced motion sickness based on the maximum cross-correlation between pulse transmission time and heart rate,Human Biology,Cybersickness / Fatigue,
10.1089/cpb.2007.9996,Pain modulation during drives through cold and hot virtual environments,Psychology / Human factors,Perception of Pain / Discomfort,
10.1162/pres.16.4.399,Effects of virtual reality immersion and walking speed on coordination of arm and leg movements,Ergonomie,Movement / Navigation,ProView 60 HMD (Kaiser
10.1145/1265957.1265961,Functional Similarities in Spatial Representations Between Real and Virtual Environments,Psychology / Human factors,Visual perception,Virtual Research Systems V8 HMD
10.3130/jaabe.6.57,Application of human-scale immersive VR system for environmental design assessment - A proposal for an architectural design evaluation tool,Bauwesen / Architektur,Visualisation,
10.1109/TVCG.2007.37,Evaluation of a low-cost 3D sound system for immersive virtual reality training systems,Hardwareentwicklung und Evaluation,Perception of sound,
10.1518/001872007779598028,Seeing size and feeling weight: The size-weight illusion in natural and virtual reality,Ergonomie,Haptics / Physical interaction,Visette Pro HMD
10.1162/pres.16.1.111,Viewing moving objects in virtual reality can change the dynamics of sensorimotor EEG rhythms,Hardwareentwicklung und Evaluation,Measurement of body functions,
10.1145/1227134.1227139,Step Frequency and Perceived Self-Motion,Ergonomie,Movement / Navigation,V8 & nVis Cybermind HMD
10.1188/07.ONF.39-46,Virtual reality: A distraction intervention for chemotherapy,Medizin,Perception of Pain / Discomfort,
10.1016/j.jpain.2006.04.006,Virtual reality helmet display quality influences the magnitude of virtual reality analgesia,Medizin,Perception of Pain / Discomfort,
10.1089/cpb.2006.9.591,Head-mounted displays for clinical virtual reality applications: Pitfalls in understanding user behavior while using technology,Psychology / Human factors,Behaviour,
10.1016/j.eurpsy.2004.10.004,High sensitivity to multisensory conflicts in agoraphobia exhibited by virtual reality,Psychology / Human factors,Perception of sound,
10.1162/pres.15.5.588,Super wide field of view head mounted display using catadioptrical optics,Hardwareentwicklung und Evaluation,Hardware development,
10.1016/j.neulet.2006.06.007,Ventriloquism aftereffects occur in the rear hemisphere,Psychology / Human factors,Perception of sound,
10.1089/cpb.2006.9.388,Using a virtual reality system to study balance and walking in a virtual outdoor environment: A pilot study,Psychology / Human factors,Movement / Navigation,SGI Onyx 2
10.1016/j.optlaseng.2005.06.005,A novel device for head gesture measurement system in combination with eye-controlled human-machine interface,Hardwareentwicklung und Evaluation,Control of VR / Human-Computer Interface,
10.1109/TVCG.2006.55,The effect of visual and interaction fidelity on spatial cognition in immersive virtual environments,Psychology / Human factors,Memory Assessment,
10.1089/cpb.2006.9.137,Virtual reality in the rehabilitation of the upper limb after stroke: The user's perspective,Medizin,Rehabilitation / Treatment,
10.1089/cpb.2006.9.207,Effectiveness of virtual reality for pediatric pain distraction during IV placement,Psychology / Human factors,Perception of Pain / Discomfort,
10.1117/1.2189211,Field-of-view tests for a virtual cockpit application,Aviation,Visual perception,
10.1016/j.ijhcs.2005.08.004,Multimodal astronaut virtual training prototype,Aviation,Training,
10.1002/ecjb.20304,A wide-field-of-view catadioptrical head-mounted display,Hardwareentwicklung und Evaluation,Hardware development,
10.1080/13506280544000273,Crossmodal binding in localizing objects outside the field of view,Psychology / Human factors,Visual perception,
10.1016/j.jmatprotec.2004.09.086,A new hybrid dynamic modelling approach for process planning,Manufacturing,Model design,
10.1162/1054746053967012,Comparison of two VR platforms for rehabilitation: Video capture versus HMD,Hardwareentwicklung und Evaluation,Rehabilitation / Treatment,
10.1097/01.OPX.0000156307.95086.6,The development of a symptom questionnaire for assessing virtual reality viewing using a head-mounted display,Psychology / Human factors,Visual perception,
10.1016/j.autcon.2004.08.001,A new paradigm for Human-Building Interaction: the use of CFD and Augmented Reality,,,
10.1089/cpb.2004.7.519,Neurofeedback training with virtual reality for inattention and impulsiveness,Psychology / Human factors,Training,HMD Daeyang E&C
10.1177/1063293X04042469,A CAD-augmented reality integrated environment for assembly sequence check and interactive validation,,,
10.1518/hfes.46.1.142.30384,Conflicting motion cues to the visual and vestibular self-motion systems around 0.06 Hz evoke simulator sickness,Psychology / Human factors,Cybersickness / Fatigue,
10.1037/0022-0663.96.1.165,Personalized messages that promote science learning in virtual environments,Psychology / Human factors,Training,
10.1016/S0005-7967(03)00139-6,Treatment of acrophobia in virtual reality: The role of immersion and presence,Psychology / Human factors,Rehabilitation / Treatment,
10.1007/s10384-003-0001-7,Effects of an eyeglass-free 3-D display on the human visual system,Medizin,Effect of HMDs on Eyesight,
10.1017/S0263574703005447,Assessment of various display devices on a virtual reality-based hand rehabilitation system,Medizin,Rehabilitation / Treatment,
10.1016/j.biopha.2003.08.010,Can personality traits predict pathological responses to audiovisual stimulation?,Psychology / Human factors,Effect of Immersion,
10.1089/109493103769710505,The effect of two types of virtual reality on voluntary center of pressure displacement,Ergonomie,Balance,Sony Glasstron VR
10.1016/S0001-4575(02)00081-7,An investigation of road crossing in a virtual environment,Psychology / Human factors,Visual perception,
10.1089/109493103322011542,A virtual reality system for Neurobehavioral and functional MRI studies,Psychology / Human factors,Software development,
10.1089/109493103322011605,Virtual reality intervention for older women with breast cancer,Psychology / Human factors,Perception of Pain / Discomfort / Stress,
10.1055/s-2003-37831,A head-mounted display system for augmented reality: Initial evaluation for interventional MRI,,,
10.1016/S0007-8506(07)60517-4,"Integrating augmented reality in the assembly domain - Fundamentals, benefits and applications",,,
10.1023/A:1021778608344,Walking on virtual tiles,Medizin,Rehabilitation / Treatment,
10.1016/S0143-8166(02)00034-9,An eye behavior measuring device for VR system,Human Biology,Measurement of body functions,
10.1037//0022-0663.94.3.598,Learning science in virtual reality multimedia environments: Role of methods and media,Psychology / Human factors,Training,
10.1360/02tb9297,Refractive-diffractive visual system for micro-display of LCOS,Hardwareentwicklung und Evaluation,Hardware development,
10.1023/A:1019960305038,Wireless user perspectives in Europe: HandSmart mediaphone interface,Hardwareentwicklung und Evaluation,Hardware development,
10.1089/109493102753770516,The effect of virtual reality cognitive training for attention enhancement,Psychology / Human factors,Training,HMD Daeyang ERC
10.1007/s00268-001-0127-z,Image display technology and image processing,Medizin,Image of VR / Use of VR,
10.1016/S0097-8493(01)00118-2,A tangible AR desktop environment,,,
10.1006/ijhc.2001.0475,Theme-based content analysis: a flexible method for virtual environment evaluation,Psychology / Human factors,Emotions / Empathy / Fear,
10.1162/1054746011470226,Virtual environments for assessing and rehabilitating cognitive/functional performance - A review of projects at the USC Integrated Media Systems Center,Medizin,Rehabilitation / Treatment,
10.1162/1054746011470271,Virtual reality and driving: Tthe road to better assessment for cognitively impaired populations,Psychology / Human factors,Diagnosis,
10.1089/109493101300117910,Evaluation for the design of experience in virtual environments: Modeling breakdown of interaction and illusion,Psychology / Human factors,Control of VR / Human-Computer Interface,
10.1504/IJTM.2001.002917,Integrating virtual 3-D display systems into product design reviews: some insights from empirical testing,Design,Collaboration / Interaction,
10.1016/S0924-0136(00)00717-2,Designing an immersive virtual reality interface for layout planning,Manufacturing,Software development,
10.1016/S0887-6185(00)00052-9,Adaptation as a sensorial profile in trait anxiety: A study with virtual reality,Psychology / Human factors,Emotions / Empathy / Fear,
10.1089/10949310050078788,Preclinical evaluation of a virtual reality neuropsychological test system: Occurrence of side effects,Medizin,Diagnosis,
10.1089/10949310050078940,The virtual classroom: A Virtual Reality Environment for the assessment and rehabilitation of attention deficits,Psychology / Human factors,Rehabilitation / Treatment,
10.1016/S0141-9382(00)00029-9,Habituation to the side effects of immersion in a virtual environment,Psychology / Human factors,Cybersickness / Fatigue,
10.1016/S0278-2391(99)90722-X,Clinical experience with interactive teleconsultation and teleassistance in craniomaxillofacial surgical procedures,,,
10.2170/jjphysiol.49.417,Postural adjustment response to depth direction moving patterns produced by virtual reality graphics,Ergonomie,Balance,
10.1518/001872099779611067,Target-directed head movements in a head-coupled virtual environment: Predicting the effects of lags using Fitts' law,Softwareentwicklung,Tracking / Motion Capturing (Evaluation),
10.1097/00006324-199909000-00021,Oculomotor function after virtual reality use differentiates symptomatic from asymptomatic individuals,Medizin,Effect of HMDs on Eyesight,
10.1162/105474699566341,Virtual reality as communication tool: A sociocognitive analysis,Hardwareentwicklung und Evaluation,Collaboration / Interaction,
10.1162/105474699566152,Virtual reality-induced symptoms and effects (VRISE),Psychology / Human factors,Effect of Immersion,
10.1016/S0141-9331(98)00105-7,Visor projected helmet mounted displays technology and applications,,,
10.1016/S0003-6870(98)00041-6,The nauseogenicity of two methods of navigating within a virtual environment,Ergonomie,Cybersickness / Fatigue,Virtual i-glasses
10.1016/S0003-6870(98)00043-X,Oculomotor changes within virtual environments,Human Biology,Effect of HMDs on Eyesight,
10.1016/S0003-6870(98)00045-3,Physical ergonomics of virtual environment use,Ergonomie,Evaluation of VR systems,multiple
10.1016/S0361-9230(98)00104-X,Static posture tests for the assessment of postural instability after virtual environment use,Human Biology,Balance,
10.1162/105474698565811,Multisensor integrated prediction for virtual reality,Hardwareentwicklung und Evaluation,Tracking / Motion Capturing (Evaluation),
10.1080/001401398187035,Gaze angle: a possible mechanism of visual stress in virtual reality headsets,Human Biology,Effect of HMDs on Eyesight,
10.1109/5.662873,Current and future applications of virtual reality for medicine,,,
10.1016/S0141-9382(97)00011-5,The occurrence of virtual simulation sickness symptoms when an HMD was used as a personal viewing system,Psychology / Human factors,Cybersickness / Fatigue,
10.1023/A:1018639714611,Interactive collaborative media environments,Hardwareentwicklung und Evaluation,Collaboration / Interaction,
10.1080/001401397187603,Virtual environments and ergonomics: needs and opportunities,Ergonomie,Evaluation of VR systems,
10.1518/001872097778827070,Multiaccommodative stimuli in VR systems: Problems & solutions,Hardwareentwicklung und Evaluation,Visual perception,
10.1016/S0168-874X(96)00078-9,"Combining MSC/NASTRAN, sensitivity methods, and virtual reality to facilitate interactive design",Ingenieurwesen / Physik,Visualisation,
10.1016/S0278-2391(97)90689-3,Virtual reality for orthognathic surgery: The augmented reality environment concept,,,
10.1162/pres.1997.6.1.118,Implementation of dynamic robotic graphics for a virtual control panel,Softwareentwicklung,Visualisation,
10.1080/00140139608964552,Stereopsis with normal and reversed binocular parallax using a head mounted display in normal and strabismic subjects,Ergonomie,Visual perception,
10.1080/00140139608964557,Effects on visual functions during tasks of object handling in virtual environment with a head mounted display,Ergonomie,Haptics / Physical interaction,
10.1143/JJAP.35.3121,A system for superimposing a 3-dimensional stereoscopic motion echo image of the heart onto the chest,,,
10.1016/S0901-5027(96)80062-2,Image guided surgery,,,
10.1007/BF02407087,A LOW-POWER HIGH-PERFORMANCE POLYGON RENDERER FOR COMPUTER-GRAPHICS,Softwareentwicklung,Visualisation,
10.1016/0010-4825(94)00007-D,THE RESPONSIVE WORKBENCH - A VIRTUAL WORKING ENVIRONMENT FOR PHYSICIANS,,,
10.1145/159161.173948,DECOUPLED SIMULATION IN VIRTUAL-REALITY WITH THE MR TOOLKIT,Softwareentwicklung,Model design,
10.1145/159544.159587,KNOWLEDGE-BASED AUGMENTED REALITY,,,
10.1109/TBME.2009.2028013,A 3-D Mixed-Reality System for Stereoscopic Visualization of Medical Dataset.,,,
10.1089/10949310050078805,A Rapid Prototyping Framework for the Development of Virtual Environments in Mental Health.,Psychology / Human factors,Model design,
10.1089/109493103322011542,A Virtual Reality System for Neurobehavioral and Functional MRI Studies.,,,
10.1109/MM.2014.94,An Augmented Reality Processor with a Congestion-Aware Network-on-Chip Scheduler.,,,
10.1016/S0001-4575(02)00081-7,An investigation of road crossing in a virtual environment,,,
10.1089/cpb.2008.0003,Anxiety Provocation and Measurement Using Virtual Reality in Patients with Obsessive-Compulsive Disorder.,,,
10.1089/cyber.2014.0046,Application of Virtual Body Swapping to Patients with Complex Regional Pain Syndrome: A Pilot Study.,Psychology / Human factors,Perception of Pain / Discomfort / Stress,
10.1080/10447318.2014.927283,Augmented Presentations: Supporting the Communication in Presentations by Means of Augmented Reality.,,,
10.1080/00207540601064773,Augmented reality applications in manufacturing: a survey.,,,
10.1109/MCG.2012.110,Beaming: An Asymmetric Telepresence System.,Hardwareentwicklung und Evaluation,Collaboration / Interaction,
10.1504/IJCAT.2015.069331,Construction of a virtual reality environment for robotic manufacturing cells.,Softwareentwicklung,Remote Control / Digital Twin,
10.1089/cpb.2009.0118,Crushing Virtual Cigarettes Reduces Tobacco Addiction and Treatment Discontinuation.,,,
10.1109/MCG.2004.1297006,Developing Killer Apps for Industrial Augmented Reality.,,,
10.1089/cpb.2007.0116,Development and Clinical Trial of Virtual Reality-Based Cognitive Assessment in People with Stroke: Preliminary Study.,,,
10.1080/07408170304345,Development and pilot testing for virtual manufacturing tools with intelligent attributes.,Softwareentwicklung,Remote Control / Digital Twin,V6 HMD
10.1080/16864360.2006.10738485,Development of a Simulator Based on Train Performance Simulation.,Design,Model design,
10.1037/a0027524,Effect of Viewing Plane on Perceived Distances in Real and Virtual Environments.,Psychology / Human factors,Visual perception,NVIS nVisor SX
10.1089/cpb.2006.9.207,Effectiveness of Virtual Reality for Pediatric Pain Distraction during IV Placement.,,,
10.1002/hfm.20566,Effects of Displays on Visually Controlled Task Performance in Three-Dimensional Virtual Reality Environment.,,,
10.1089/109493101300117910,Evaluation for the Design of Experience in Virtual Environments: Modeling Breakdown of Interaction and Illusion.,,,
10.1089/1094931042403109,Factors That Influence Presence in Educational Virtual Environments.,Psychology / Human factors,Presence,
10.1089/cyber.2014.0058,Feasibility of Articulated Arm Mounted Oculus Rift Virtual Reality Goggles for Adjunctive Pain Control During Occupational Therapy in Pediatric Burn Patients.,,,
10.1089/cpb.2006.9.591,Head-Mounted Displays for Clinical Virtual Reality Applications: Pitfalls in Understanding User Behavior while Using Technology.,,,
10.1089/cpb.2004.7.734,Immersion and Emotion: Their Impact on the Sense of Presence.,Psychology / Human factors,Presence,
10.1080/01449290903160459,Increasing the geometric field of view in head mounted displays through proprioceptive task and multimodal feedback for effective close range interaction.,,,
10.1109/38.963462,Mixed Reality: Future Dreams Seen at the Border between Real and Virtual Worlds.,,,
10.1089/1094931042403055,Neurofeedback Training with Virtual Reality for Inattention and Impulsiveness.,,,
10.3233/wor-2012-0442-2201,On the effect of free vs. restricted interaction during the exploration of virtual environments.,Ergonomie,Haptics / Physical interaction,NVISOR SX
10.1080/16864360.2006.10738444,Organic Shape Modeling through Haptic Devices.,Design,Software development,
10.1089/cpb.2007.9996,Pain Modulation during Drives through Cold and Hot Virtual Environments.,,,
10.1080/088395197118154,PERCEPTIVE SPACES FOR PERFORMANCE AND ENTERTAINMENT UNTETHERED INTERACTION USING COMPUTER VISION AND AUDITION.,Softwareentwicklung,Visual perception,
10.1089/10949310050078788,Preclinical Evaluation of a Virtual Reality Neuropsychological Test System: Occurrence of Side Effects.,,,
10.1109/MCG.2015.98,Reducing Visual Discomfort with HMDs Using Dynamic Depth of Field.,Hardwareentwicklung und Evaluation,Visual perception,
10.1109/MCG.2014.117,Spatial User Interfaces for Large-Scale Projector-Based Augmented Reality.,,,
10.1109/TRO.2009.2028765,Stereo Viewing and Virtual Reality Technologies in Mobile Robot Teleguide.,,,
10.1109/TIE.2014.2334675,Stereoscopic Visualization and 3-D Technologies in Medical Endoscopic Teleoperation.,,,
10.3758/s13421-010-0054-z,The effect of landmark and body-based sensory information on route knowledge.,,,
10.1089/109493103769710505,The Effect of Two Types of Virtual Reality on Voluntary Center of Pressure Displacement.,,,
10.1089/109493102753770516,The Effect of Virtual Reality Cognitive Training for Attention Enhancement.,,,
10.1089/109493102753685890,The Effect of Visual Stimulation via the Eyeglass Display and the Perception of Pain.,Psychology / Human factors,Perception of Pain / Discomfort / Stress,
10.1089/109493101300117938,The Effects of Levels of Immersion on Memory and Presence in Virtual Environments: A Reality Centered Approach.,Psychology / Human factors,Effect of Immersion,HP Prototype
10.1089/10949310050078940,The Virtual Classroom: A Virtual Reality Environment for the Assessment and Rehabilitation of Attention Deficits.,,,
10.1080/10447318.2015.1039909,Usability Evaluation of VR Interface for Mobile Robot Teleoperation.,,,
10.1089/cpb.2006.9.388,Using a Virtual Reality System to Study Balance and Walking in a Virtual Outdoor Environment: APilot Study.,,,
10.1109/TBME.2005.848378,Using EMG to Anticipate Head Motion for Virtual-Environment Applications.,Hardwareentwicklung und Evaluation,Measurement of body functions,
10.1109/MCG.2014.103,Virtual Reality for the Masses.,VR Allgemein,Image of VR / Use of VR,
10.1089/cpb.2006.9.137,Virtual Reality in the Rehabilitation of the Upper Limb after Stroke: The User’s Perspective.,,,
10.1089/109493103322011605,Virtual Reality Intervention for Older Women with Breast Cancer.,,,
10.1109/MCG.2015.102,Virtual Reality Software and Technology.,VR Allgemein,Image of VR / Use of VR,
10.1089/cyber.2009.0263,Virtual-Reality Distraction and Cold-Pressor Pain Tolerance: Does Avatar Point of View Matter?,,,
10.1109/MCG.2014.82,Visualization beyond the Desktop--the Next Big Thing.,Hardwareentwicklung und Evaluation,Visualisation,
10.14400/JDC.2015.13.8.465,????? ?? ????? ?? ??? ??.,,,
10.1145/1498700.1498702,The effects of head-mounted display mechanical properties and field of view on distance judgments in virtual environments,Hardwareentwicklung und Evaluation,Visual perception,NVIS nVisor SX
10.1145/1823738.1823744,How does presentation method and measurement protocol affect distance estimation in real and virtual environments?,Psychology / Human factors,Visual perception,NVIS nVisor ST
10.1016/j.ergon.2010.10.001,Predicting real-world ergonomic measurements by simulation in a virtual environment,Ergonomie,Haptics / Physical interaction,5DT HMD 800-26 3D
10.1016/j.gaitpost.2012.02.010,Influence of real and virtual heights on standing balance,Psychology / Human factors,Balance,piSight
10.1016/j.jneumeth.2018.03.010,The Virtual Shop: A new immersive virtual reality environment and scenario for the assessment of everyday memory,Human Biology,Measurement of body functions,nVi- sor ST50
10.3758/s13414-011-0170-2,The underestimation of egocentric distance:evidence from frontal matching tasks,Psychology / Human factors,Visual perception,xSight HMD
